locus_tag	ftype	gene	EC_number	product
PALMKOPA_00794	CDS	argS	6.1.1.19	Arginine--tRNA ligase
PALMKOPA_00795	tRNA	tRNA-Gly(ccc)		
PALMKOPA_00796	CDS	hypothetical protein		
PALMKOPA_00797	CDS	hypothetical protein		
PALMKOPA_00798	CDS	folP	2.5.1.15	Dihydropteroate synthase
PALMKOPA_00799	CDS	3.6.1.9	Non-canonical purine NTP pyrophosphatase	
PALMKOPA_00800	CDS	folC	6.3.2.12	Dihydrofolate synthase/folylpolyglutamate synthase
PALMKOPA_00801	CDS	folE	3.5.4.16	GTP cyclohydrolase 1
PALMKOPA_00802	CDS	sulD	Bifunctional folate synthesis protein	
PALMKOPA_00803	CDS	folB	4.1.2.25	Dihydroneopterin aldolase
PALMKOPA_00804	CDS	hypothetical protein		
PALMKOPA_00805	CDS	degA_2	HTH-type transcriptional regulator DegA	
PALMKOPA_00806	CDS	hypothetical protein		
PALMKOPA_00807	CDS	2.7.1.113	Deoxyguanosine kinase	
PALMKOPA_00808	CDS	3.2.1.-	Autolysin	
PALMKOPA_00809	CDS	lppS	2.3.2.-	"Putative L,D-transpeptidase LppS"
PALMKOPA_00810	CDS	Putative universal stress protein		
PALMKOPA_00811	CDS	3.4.13.-	Putative dipeptidase	
PALMKOPA_00812	CDS	nnrD	4.2.1.136	ADP-dependent (S)-NAD(P)H-hydrate dehydratase
PALMKOPA_00813	CDS	hypothetical protein		
PALMKOPA_00814	CDS	murJ	Lipid II flippase MurJ	
PALMKOPA_00815	CDS	hypothetical protein		
PALMKOPA_00816	CDS	leuS	6.1.1.4	Leucine--tRNA ligase
PALMKOPA_00817	CDS	hypothetical protein		
PALMKOPA_00818	CDS	proA	1.2.1.41	Gamma-glutamyl phosphate reductase
PALMKOPA_00819	CDS	proB	2.7.2.11	Glutamate 5-kinase 1
PALMKOPA_00820	CDS	metK	2.5.1.6	S-adenosylmethionine synthase
PALMKOPA_00821	CDS	hypothetical protein		
PALMKOPA_00822	CDS	tag	3.2.2.20	DNA-3-methyladenine glycosylase 1
PALMKOPA_00823	CDS	ribZ_1	Riboflavin transporter RibZ	
PALMKOPA_00824	CDS	perR	Peroxide-responsive repressor PerR	
PALMKOPA_00825	CDS	cycA_1	D-serine/D-alanine/glycine transporter	
PALMKOPA_00826	CDS	hypothetical protein		
PALMKOPA_00827	CDS	hypothetical protein		
PALMKOPA_00828	CDS	hypothetical protein		
PALMKOPA_00829	CDS	hypothetical protein		
PALMKOPA_00830	CDS	hypothetical protein		
PALMKOPA_00831	CDS	gap	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase
PALMKOPA_00832	CDS	pgk	2.7.2.3	Phosphoglycerate kinase
PALMKOPA_00833	CDS	tpiA_1	5.3.1.1	Triosephosphate isomerase
PALMKOPA_00834	CDS	eno2	4.2.1.11	Enolase 2
PALMKOPA_00835	CDS	yifK_1	putative transport protein YifK	
PALMKOPA_00836	CDS	clcA_2	H(+)/Cl(-) exchange transporter ClcA	
PALMKOPA_00837	CDS	secG	putative protein-export membrane protein SecG	
PALMKOPA_00838	CDS	rnr	3.1.13.1	Ribonuclease R
PALMKOPA_00839	CDS	smpB	SsrA-binding protein	
PALMKOPA_00840	CDS	hypothetical protein		
PALMKOPA_00841	CDS	ung	3.2.2.27	Uracil-DNA glycosylase
PALMKOPA_00842	CDS	pta	2.3.1.8	Phosphate acetyltransferase
PALMKOPA_00843	CDS	tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE	
PALMKOPA_00844	CDS	hypothetical protein		
PALMKOPA_00845	CDS	polC_2	2.7.7.7	DNA polymerase III PolC-type
PALMKOPA_00846	CDS	murB	1.3.1.98	UDP-N-acetylenolpyruvoylglucosamine reductase
PALMKOPA_00847	CDS	dacA_1	2.7.7.85	Diadenylate cyclase
PALMKOPA_00848	CDS	cdaR	CdaA regulatory protein CdaR	
PALMKOPA_00849	CDS	glmM	5.4.2.10	Phosphoglucosamine mutase
PALMKOPA_00850	CDS	glmS	2.6.1.16	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PALMKOPA_00851	CDS	hypothetical protein		
PALMKOPA_00852	CDS	oatA	2.3.1.-	O-acetyltransferase OatA
PALMKOPA_00853	CDS	3.1.3.-	Putative phosphatase	
PALMKOPA_00854	CDS	hypothetical protein		
PALMKOPA_00855	CDS	hypothetical protein		
PALMKOPA_00856	CDS	cmpR	HTH-type transcriptional activator CmpR	
PALMKOPA_00857	CDS	yvyI	5.3.1.8	Putative mannose-6-phosphate isomerase YvyI
PALMKOPA_00858	CDS	DegV domain-containing protein		
PALMKOPA_00859	CDS	hypothetical protein		
PALMKOPA_00860	CDS	yfeX	1.11.1.-	putative deferrochelatase/peroxidase YfeX
PALMKOPA_00861	CDS	mepH_2	3.4.-.-	Murein DD-endopeptidase MepH
PALMKOPA_00862	CDS	hypothetical protein		
PALMKOPA_00863	CDS	csbB	2.4.-.-	Putative glycosyltransferase CsbB
PALMKOPA_00864	CDS	hypothetical protein		
PALMKOPA_00865	CDS	ykoT_1	2.4.-.-	putative glycosyltransferase YkoT
PALMKOPA_00866	CDS	prfC	Peptide chain release factor 3	
PALMKOPA_00867	CDS	wbbI	2.4.1.-	"Beta-1,6-galactofuranosyltransferase WbbI"
PALMKOPA_00868	CDS	pglI	2.4.1.293	"GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase"
PALMKOPA_00869	CDS	ykoT_2	2.4.-.-	putative glycosyltransferase YkoT
PALMKOPA_00870	CDS	hypothetical protein		
PALMKOPA_00871	CDS	hypothetical protein		
PALMKOPA_00872	CDS	rfbB	4.2.1.46	"dTDP-glucose 4,6-dehydratase"
PALMKOPA_00873	CDS	ytrA	HTH-type transcriptional repressor YtrA	
PALMKOPA_00874	CDS	ytrB	ABC transporter ATP-binding protein YtrB	
PALMKOPA_00875	CDS	hypothetical protein		
PALMKOPA_00876	CDS	hypothetical protein		
PALMKOPA_00877	CDS	6.3.1.12	D-aspartate ligase	
PALMKOPA_00878	CDS	hypothetical protein		
PALMKOPA_00879	CDS	proC	1.5.1.2	Pyrroline-5-carboxylate reductase
PALMKOPA_00880	CDS	hypothetical protein		
PALMKOPA_00881	CDS	panT	Pantothenate transporter PanT	
PALMKOPA_00882	CDS	pncB2_1	6.3.4.21	Nicotinate phosphoribosyltransferase pncB2
PALMKOPA_00883	CDS	rutB	3.5.1.110	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
PALMKOPA_00884	CDS	hypothetical protein		
PALMKOPA_00885	CDS	clpE	ATP-dependent Clp protease ATP-binding subunit ClpE	
PALMKOPA_00886	CDS	hypothetical protein		
PALMKOPA_00887	CDS	ptsH	2.7.11.-	Phosphocarrier protein HPr
PALMKOPA_00888	CDS	ptsI_1	2.7.3.9	Phosphoenolpyruvate-protein phosphotransferase
PALMKOPA_00889	CDS	2.4.1.337	Alpha-monoglucosyldiacylglycerol synthase	
PALMKOPA_00890	CDS	cpoA	2.4.1.-	Alpha-galactosylglucosyldiacylglycerol synthase
PALMKOPA_00891	CDS	hypothetical protein		
PALMKOPA_00892	CDS	emrB	Multidrug export protein EmrB	
PALMKOPA_00893	CDS	ribF	Riboflavin biosynthesis protein RibF	
PALMKOPA_00894	CDS	truB	5.4.99.25	tRNA pseudouridine synthase B
PALMKOPA_00895	CDS	rbfA	Ribosome-binding factor A	
PALMKOPA_00896	CDS	infB	Translation initiation factor IF-2	
PALMKOPA_00897	CDS	rplGA	putative ribosomal protein YlxQ	
PALMKOPA_00898	CDS	hypothetical protein		
PALMKOPA_00899	CDS	nusA	Transcription termination/antitermination protein NusA	
PALMKOPA_00900	CDS	rimP	Ribosome maturation factor RimP	
PALMKOPA_00901	CDS	carB_3	6.3.5.5	Carbamoyl-phosphate synthase arginine-specific large chain
PALMKOPA_00902	CDS	carA_2	6.3.5.5	Carbamoyl-phosphate synthase arginine-specific small chain
PALMKOPA_00903	CDS	argC	1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase
PALMKOPA_00904	CDS	argJ	Arginine biosynthesis bifunctional protein ArgJ	
PALMKOPA_00905	CDS	argB	2.7.2.8	Acetylglutamate kinase
PALMKOPA_00906	CDS	argD	2.6.1.11	Acetylornithine aminotransferase
PALMKOPA_00907	CDS	polC_3	2.7.7.7	DNA polymerase III PolC-type
PALMKOPA_00908	CDS	proS	6.1.1.15	Proline--tRNA ligase
PALMKOPA_00909	CDS	rasP	3.4.24.-	Regulator of sigma-W protease RasP
PALMKOPA_00910	CDS	cdsA	2.7.7.41	Phosphatidate cytidylyltransferase
PALMKOPA_00911	CDS	uppS	2.5.1.31	"Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"
PALMKOPA_00912	CDS	frr	Ribosome-recycling factor	
PALMKOPA_00913	CDS	pyrH	2.7.4.22	Uridylate kinase
PALMKOPA_00914	CDS	tsf	Elongation factor Ts	
PALMKOPA_00915	CDS	rpsB	30S ribosomal protein S2	
PALMKOPA_00916	CDS	hypothetical protein		
PALMKOPA_00917	CDS	yfiC	2.1.1.223	tRNA1(Val) (adenine(37)-N6)-methyltransferase
PALMKOPA_00918	CDS	plsC	2.3.1.-	1-acyl-sn-glycerol-3-phosphate acyltransferase
PALMKOPA_00919	CDS	hypothetical protein		
PALMKOPA_00920	CDS	hypothetical protein		
PALMKOPA_00921	CDS	Int-Tn	Transposase from transposon Tn916	
PALMKOPA_00922	CDS	rbgA	Ribosome biogenesis GTPase A	
PALMKOPA_00923	CDS	rnhB	3.1.26.4	Ribonuclease HII
PALMKOPA_00924	CDS	dprA	DNA processing protein DprA	
PALMKOPA_00925	CDS	topA	5.99.1.2	DNA topoisomerase 1
PALMKOPA_00926	CDS	xerD_2	Tyrosine recombinase XerD	
PALMKOPA_00927	CDS	hypothetical protein		
PALMKOPA_00928	CDS	plsY	2.3.1.-	Glycerol-3-phosphate acyltransferase
PALMKOPA_00929	CDS	parE	5.99.1.3	DNA topoisomerase 4 subunit B
PALMKOPA_00930	CDS	parC	5.99.1.3	DNA topoisomerase 4 subunit A
PALMKOPA_00931	CDS	yagU	Inner membrane protein YagU	
PALMKOPA_00932	CDS	ppaC	3.6.1.1	putative manganese-dependent inorganic pyrophosphatase
PALMKOPA_00933	CDS	hypothetical protein		
PALMKOPA_00934	CDS	msrB	1.8.4.12	Peptide methionine sulfoxide reductase MsrB
PALMKOPA_00935	CDS	ywnH	2.3.1.183	Putative phosphinothricin acetyltransferase YwnH
PALMKOPA_00936	CDS	msrC	1.8.4.14	Free methionine-R-sulfoxide reductase
PALMKOPA_00937	CDS	pucI	putative allantoin permease	
PALMKOPA_00938	CDS	codA	3.5.4.1	Cytosine deaminase
PALMKOPA_00939	CDS	hypothetical protein		
PALMKOPA_00940	CDS	hypothetical protein		
PALMKOPA_00941	CDS	rarA	Replication-associated recombination protein A	
PALMKOPA_00942	CDS	ydfK_2	putative membrane protein YdfK	
PALMKOPA_00943	CDS	yhjX	putative MFS-type transporter YhjX	
PALMKOPA_00944	CDS	hypothetical protein		
PALMKOPA_00945	CDS	hypothetical protein		
PALMKOPA_00946	CDS	clcA_3	H(+)/Cl(-) exchange transporter ClcA	
PALMKOPA_00947	CDS	hypothetical protein		
PALMKOPA_00948	CDS	odh	1.5.1.28	Opine dehydrogenase
PALMKOPA_00949	CDS	hypothetical protein		
PALMKOPA_00950	CDS	hypothetical protein		
PALMKOPA_00951	CDS	mdtG	Multidrug resistance protein MdtG	
PALMKOPA_00952	CDS	rpmE2	50S ribosomal protein L31 type B	
PALMKOPA_00953	CDS	murA1_2	2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
PALMKOPA_00954	CDS	pyrG	6.3.4.2	CTP synthase
PALMKOPA_00955	CDS	rpoE	putative DNA-directed RNA polymerase subunit delta	
PALMKOPA_00956	CDS	ywiB	putative beta-barrel protein YwiB	
PALMKOPA_00957	CDS	hypothetical protein		
PALMKOPA_00958	CDS	yidA_2	3.1.3.23	Sugar phosphatase YidA
PALMKOPA_00959	CDS	hypothetical protein		
PALMKOPA_00960	CDS	prs_2	2.7.6.1	Ribose-phosphate pyrophosphokinase
PALMKOPA_00961	CDS	glmU	Bifunctional protein GlmU	
PALMKOPA_00962	CDS	purR	Pur operon repressor	
PALMKOPA_00963	CDS	znuB	High-affinity zinc uptake system membrane protein ZnuB	
PALMKOPA_00964	CDS	znuC	3.6.3.-	Zinc import ATP-binding protein ZnuC
PALMKOPA_00965	CDS	fimA	Manganese ABC transporter substrate-binding lipoprotein	
PALMKOPA_00966	CDS	ispE	2.7.1.148	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
PALMKOPA_00967	CDS	rsmA	2.1.1.182	Ribosomal RNA small subunit methyltransferase A
PALMKOPA_00968	CDS	rnmV	3.1.26.8	Ribonuclease M5
PALMKOPA_00969	CDS	dtd3	3.1.1.96	D-aminoacyl-tRNA deacylase
PALMKOPA_00970	CDS	metG	6.1.1.10	Methionine--tRNA ligase
PALMKOPA_00971	CDS	hypothetical protein		
PALMKOPA_00972	CDS	tetA	"Tetracycline resistance protein, class B"	
PALMKOPA_00973	CDS	cobB	3.5.1.-	NAD-dependent protein deacetylase
PALMKOPA_00974	CDS	hypothetical protein		
PALMKOPA_00975	CDS	mvaA	1.1.1.88	3-hydroxy-3-methylglutaryl-coenzyme A reductase
PALMKOPA_00976	CDS	ppx_1	3.6.1.11	Exopolyphosphatase
PALMKOPA_00977	CDS	helD_2	3.6.4.12	DNA helicase IV
PALMKOPA_00978	CDS	napA	Na(+)/H(+) antiporter	
PALMKOPA_00979	CDS	gyrA	5.99.1.3	DNA gyrase subunit A
PALMKOPA_00980	CDS	gyrB	5.99.1.3	DNA gyrase subunit B
PALMKOPA_00981	CDS	recF	DNA replication and repair protein RecF	
PALMKOPA_00982	CDS	hypothetical protein		
PALMKOPA_00983	CDS	dnaN	2.7.7.7	DNA polymerase III subunit beta
PALMKOPA_00984	CDS	dnaA	Chromosomal replication initiator protein DnaA	
PALMKOPA_00985	CDS	hypothetical protein		
PALMKOPA_00986	CDS	rpmH	50S ribosomal protein L34	
PALMKOPA_00987	CDS	rnpA	3.1.26.5	Ribonuclease P protein component
PALMKOPA_00988	CDS	misCA	Membrane protein insertase MisCA	
PALMKOPA_00989	CDS	hypothetical protein		
PALMKOPA_00990	CDS	mnmE	3.6.-.-	tRNA modification GTPase MnmE
PALMKOPA_00991	CDS	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	
PALMKOPA_00992	CDS	mscL	Large-conductance mechanosensitive channel	
PALMKOPA_00993	CDS	lysP_1	Lysine-specific permease	
PALMKOPA_00994	CDS	asnB_1	6.3.5.4	Asparagine synthetase [glutamine-hydrolyzing] 1
PALMKOPA_00995	CDS	murE_1	6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
PALMKOPA_00996	CDS	murE_2	6.3.2.7	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
PALMKOPA_00997	CDS	spsB	3.4.21.89	Signal peptidase IB
PALMKOPA_00998	CDS	endA_1	3.1.30.-	DNA-entry nuclease
PALMKOPA_00999	CDS	hypothetical protein		
PALMKOPA_01000	CDS	thrS	6.1.1.3	Threonine--tRNA ligase
PALMKOPA_01001	CDS	hypothetical protein		
PALMKOPA_01002	CDS	mntH_1	Divalent metal cation transporter MntH	
PALMKOPA_01003	CDS	Putative universal stress protein		
PALMKOPA_01004	CDS	cfa	2.1.1.79	Cyclopropane-fatty-acyl-phospholipid synthase
PALMKOPA_01005	CDS	hypothetical protein		
PALMKOPA_01006	CDS	hypothetical protein		
PALMKOPA_01007	CDS	fhs1	6.3.4.3	Formate--tetrahydrofolate ligase 1
PALMKOPA_01008	CDS	purE_1	5.4.99.18	N5-carboxyaminoimidazole ribonucleotide mutase
PALMKOPA_01009	CDS	purK_1	6.3.4.18	N5-carboxyaminoimidazole ribonucleotide synthase
PALMKOPA_01010	CDS	purB	4.3.2.2	Adenylosuccinate lyase
PALMKOPA_01011	CDS	hypothetical protein		
PALMKOPA_01012	CDS	hypothetical protein		
PALMKOPA_01013	CDS	hypothetical protein		
PALMKOPA_01014	CDS	purC	6.3.2.6	Phosphoribosylaminoimidazole-succinocarboxamide synthase
PALMKOPA_01015	CDS	purS	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurS
PALMKOPA_01016	CDS	purQ	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurQ
PALMKOPA_01017	CDS	purL	6.3.5.3	Phosphoribosylformylglycinamidine synthase subunit PurL
PALMKOPA_01018	CDS	purF	2.4.2.14	Amidophosphoribosyltransferase
PALMKOPA_01019	CDS	purM	6.3.3.1	Phosphoribosylformylglycinamidine cyclo-ligase
PALMKOPA_01020	CDS	purN	2.1.2.2	Phosphoribosylglycinamide formyltransferase
PALMKOPA_01021	CDS	purH	Bifunctional purine biosynthesis protein PurH	
PALMKOPA_01022	CDS	purD	6.3.4.13	Phosphoribosylamine--glycine ligase
PALMKOPA_01023	CDS	gpmA_3	5.4.2.11	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
PALMKOPA_01024	CDS	patA_2	2.6.1.-	Putative N-acetyl-LL-diaminopimelate aminotransferase
PALMKOPA_01025	CDS	hypothetical protein		
PALMKOPA_01026	CDS	hypothetical protein		
PALMKOPA_01027	CDS	hypothetical protein		
PALMKOPA_01028	CDS	copA	3.6.3.54	Copper-exporting P-type ATPase A
PALMKOPA_01029	CDS	hypothetical protein		
PALMKOPA_01030	CDS	hypothetical protein		
PALMKOPA_01031	CDS	hypothetical protein		
PALMKOPA_01032	CDS	hypothetical protein		
PALMKOPA_01033	CDS	1.6.99.-	NADH dehydrogenase-like protein	
PALMKOPA_01034	CDS	putative ABC transporter ATP-binding protein		
PALMKOPA_01035	CDS	putative ABC transporter permease protein		
PALMKOPA_01036	CDS	hypothetical protein		
PALMKOPA_01037	CDS	moaE1	2.8.1.12	Molybdopterin synthase catalytic subunit 1
PALMKOPA_01038	CDS	hypothetical protein		
PALMKOPA_01039	CDS	moaA1	4.1.99.22	"GTP 3',8-cyclase 1"
PALMKOPA_01040	CDS	narT	putative nitrate transporter NarT	
PALMKOPA_01041	CDS	hypothetical protein		
PALMKOPA_01042	CDS	hypothetical protein		
PALMKOPA_01043	CDS	menG	2.1.1.163	Demethylmenaquinone methyltransferase
PALMKOPA_01044	CDS	hypothetical protein		
PALMKOPA_01045	CDS	hypothetical protein		
PALMKOPA_01046	CDS	hypothetical protein		
PALMKOPA_01047	CDS	hypothetical protein		
PALMKOPA_01048	CDS	nreC	Oxygen regulatory protein NreC	
PALMKOPA_01049	CDS	nreB	2.7.13.3	Oxygen sensor histidine kinase NreB
PALMKOPA_01050	CDS	hypothetical protein		
PALMKOPA_01051	CDS	hypothetical protein		
PALMKOPA_01052	CDS	mobA	2.7.7.77	putative molybdenum cofactor guanylyltransferase
PALMKOPA_01053	CDS	moaC	4.6.1.17	Cyclic pyranopterin monophosphate synthase
PALMKOPA_01054	CDS	moeA	2.10.1.1	Molybdopterin molybdenumtransferase
PALMKOPA_01055	CDS	moaB	Molybdenum cofactor biosynthesis protein B	
PALMKOPA_01056	CDS	moeB	2.7.7.80	Molybdopterin-synthase adenylyltransferase
PALMKOPA_01057	CDS	narG	1.7.99.4	Respiratory nitrate reductase 1 alpha chain
PALMKOPA_01058	CDS	narH	1.7.99.4	Respiratory nitrate reductase 1 beta chain
PALMKOPA_01059	CDS	narJ	Nitrate reductase molybdenum cofactor assembly chaperone NarJ	
PALMKOPA_01060	CDS	narX	1.7.99.4	Nitrate reductase-like protein NarX
PALMKOPA_01061	CDS	isdE_1	High-affinity heme uptake system protein IsdE	
PALMKOPA_01062	CDS	sufB_1	FeS cluster assembly protein SufB	
PALMKOPA_01063	CDS	iscU	Iron-sulfur cluster assembly scaffold protein IscU	
PALMKOPA_01064	CDS	sufS	2.8.1.7	Cysteine desulfurase SufS
PALMKOPA_01065	CDS	sufB_2	FeS cluster assembly protein SufB	
PALMKOPA_01066	CDS	putative ABC transporter ATP-binding protein		
PALMKOPA_01067	CDS	hypothetical protein		
PALMKOPA_01068	CDS	feoB	Fe(2+) transporter FeoB	
PALMKOPA_01069	CDS	hypothetical protein		
PALMKOPA_01070	CDS	menA	2.5.1.74	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
PALMKOPA_01071	CDS	hexs-b	2.5.1.83	"Hexaprenyl-diphosphate synthase large subunit ((2E,6E)-farnesyl-diphosphate specific)"
PALMKOPA_01072	CDS	1.1.1.28	D-lactate dehydrogenase	
PALMKOPA_01073	CDS	aspC	2.6.1.1	Aspartate aminotransferase
PALMKOPA_01074	CDS	aroK	2.7.1.71	Shikimate kinase
PALMKOPA_01075	CDS	tyrA_1	1.3.1.12	Prephenate dehydrogenase
PALMKOPA_01076	CDS	aroA1	2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase 1
PALMKOPA_01077	CDS	hypothetical protein		
PALMKOPA_01078	CDS	aroC	4.2.3.5	Chorismate synthase
PALMKOPA_01079	CDS	tyrA_2	T-protein	
PALMKOPA_01080	CDS	ydiM	Inner membrane transport protein YdiM	
PALMKOPA_01081	CDS	hypothetical protein		
PALMKOPA_01082	CDS	dtpT_1	Di-/tripeptide transporter	
PALMKOPA_01083	CDS	hypothetical protein		
PALMKOPA_01084	tRNA	tRNA-Gln(ttg)		
PALMKOPA_01085	CDS	ybjI_1	3.1.3.-	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
PALMKOPA_01086	CDS	qorB_2	1.6.5.2	Quinone oxidoreductase 2
PALMKOPA_01087	CDS	qorB_3	1.6.5.2	Quinone oxidoreductase 2
PALMKOPA_01088	CDS	hypothetical protein		
PALMKOPA_01089	CDS	hsrA	putative transport protein HsrA	
PALMKOPA_01090	CDS	hypothetical protein		
PALMKOPA_01091	CDS	ybiT	putative ABC transporter ATP-binding protein YbiT	
PALMKOPA_01092	CDS	hypothetical protein		
PALMKOPA_01093	CDS	hypothetical protein		
PALMKOPA_01094	CDS	gshAB_2	Glutathione biosynthesis bifunctional protein GshAB	
PALMKOPA_01095	CDS	1.1.1.-	L-2-hydroxyisocaproate dehydrogenase	
PALMKOPA_01096	CDS	yvdD	LOG family protein YvdD	
PALMKOPA_01097	CDS	hypothetical protein		
PALMKOPA_01098	CDS	afr	1.1.1.292	"1,5-anhydro-D-fructose reductase"
PALMKOPA_01099	CDS	yfmL	3.6.4.13	putative ATP-dependent RNA helicase YfmL
PALMKOPA_01100	tRNA	tRNA-Arg(cct)		
PALMKOPA_01101	CDS	hypothetical protein		
PALMKOPA_01102	CDS	Flavodoxin		
PALMKOPA_01103	CDS	map	3.4.11.18	Methionine aminopeptidase 1
PALMKOPA_01104	CDS	hypothetical protein		
PALMKOPA_01105	CDS	hypothetical protein		
PALMKOPA_01106	CDS	hypothetical protein		
PALMKOPA_01107	CDS	hypothetical protein		
PALMKOPA_01108	CDS	recX	Regulatory protein RecX	
PALMKOPA_01109	CDS	wcaJ	2.7.8.31	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
PALMKOPA_01110	CDS	hypothetical protein		
PALMKOPA_01111	CDS	hypothetical protein		
PALMKOPA_01112	CDS	cap8A_1	Capsular polysaccharide type 8 biosynthesis protein cap8A	
PALMKOPA_01113	CDS	hypothetical protein		
PALMKOPA_01114	CDS	glf	5.4.99.9	UDP-galactopyranose mutase
PALMKOPA_01115	CDS	rfbX_1	Putative O-antigen transporter	
PALMKOPA_01116	CDS	hypothetical protein		
PALMKOPA_01117	CDS	gltT	Proton/sodium-glutamate symport protein	
PALMKOPA_01118	CDS	pepF1	3.4.24.-	"Oligoendopeptidase F, plasmid"
PALMKOPA_01119	CDS	kdgR_1	HTH-type transcriptional regulator KdgR	
PALMKOPA_01120	CDS	kduD	1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
PALMKOPA_01121	CDS	lrpC	HTH-type transcriptional regulator LrpC	
PALMKOPA_01122	CDS	Putative universal stress protein		
PALMKOPA_01123	CDS	gnd	1.1.1.44	"6-phosphogluconate dehydrogenase, decarboxylating"
PALMKOPA_01124	CDS	zwf	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase
PALMKOPA_01125	CDS	yycB	putative transporter YycB	
PALMKOPA_01126	CDS	hypothetical protein		
PALMKOPA_01127	CDS	Putative NrdI-like protein		
PALMKOPA_01128	CDS	corC_2	Magnesium and cobalt efflux protein CorC	
PALMKOPA_01129	CDS	hypothetical protein		
PALMKOPA_01130	CDS	hypothetical protein		
PALMKOPA_01131	CDS	hypothetical protein		
PALMKOPA_01132	CDS	pepDA_1	3.4.-.-	Dipeptidase A
PALMKOPA_01133	CDS	hypothetical protein		
PALMKOPA_01134	CDS	ybaK	4.2.-.-	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
PALMKOPA_01135	CDS	gmuR	HTH-type transcriptional regulator GmuR	
PALMKOPA_01136	CDS	ybjI_2	3.1.3.-	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
PALMKOPA_01137	CDS	xpkA	4.1.2.9	Xylulose-5-phosphate phosphoketolase
PALMKOPA_01138	CDS	hypothetical protein		
PALMKOPA_01139	CDS	nrdF_1	1.17.4.1	Ribonucleoside-diphosphate reductase 2 subunit beta
PALMKOPA_01140	CDS	nrdE	1.17.4.1	Ribonucleoside-diphosphate reductase 2 subunit alpha
PALMKOPA_01141	CDS	nrdH	Glutaredoxin-like protein NrdH	
PALMKOPA_01142	CDS	tadA_2	3.5.4.33	tRNA-specific adenosine deaminase
PALMKOPA_01143	CDS	hypothetical protein		
PALMKOPA_01144	CDS	dnaX_1	2.7.7.7	DNA polymerase III subunit tau
PALMKOPA_01145	CDS	Nucleoid-associated protein		
PALMKOPA_01146	CDS	recR	Recombination protein RecR	
PALMKOPA_01147	CDS	hypothetical protein		
PALMKOPA_01148	CDS	tmk	2.7.4.9	Thymidylate kinase
PALMKOPA_01149	CDS	hypothetical protein		
PALMKOPA_01150	CDS	dnaX_2	2.7.7.7	DNA polymerase III subunit tau
PALMKOPA_01151	CDS	yabA	Initiation-control protein YabA	
PALMKOPA_01152	CDS	rsmI	2.1.1.198	Ribosomal RNA small subunit methyltransferase I
PALMKOPA_01153	CDS	hypothetical protein		
PALMKOPA_01154	CDS	gppA	3.6.1.40	"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"
PALMKOPA_01155	CDS	ppk	2.7.4.1	Polyphosphate kinase
PALMKOPA_01156	CDS	ppx_2	3.6.1.11	Exopolyphosphatase
PALMKOPA_01157	CDS	galE	5.1.3.2	UDP-glucose 4-epimerase
PALMKOPA_01158	CDS	cheB	3.1.1.61	Chemotaxis response regulator protein-glutamate methylesterase
PALMKOPA_01159	CDS	argF	2.1.3.3	Ornithine carbamoyltransferase
PALMKOPA_01160	CDS	arcC1	2.7.2.2	Carbamate kinase 1
PALMKOPA_01161	CDS	arcA	3.5.3.6	Arginine deiminase
PALMKOPA_01162	CDS	arcD1	Arginine/ornithine antiporter ArcD1	
PALMKOPA_01163	CDS	hypothetical protein		
PALMKOPA_01164	CDS	hssR_1	Heme response regulator HssR	
PALMKOPA_01165	CDS	phoR_1	2.7.13.3	Alkaline phosphatase synthesis sensor protein PhoR
PALMKOPA_01166	CDS	1.6.5.2	NAD(P)H dehydrogenase (quinone)	
PALMKOPA_01167	CDS	ribD	Riboflavin biosynthesis protein RibD	
PALMKOPA_01168	CDS	ribE	2.5.1.9	Riboflavin synthase
PALMKOPA_01169	CDS	ribBA	Riboflavin biosynthesis protein RibBA	
